Name ,Voltage ,Start point Station ,Voltage startpoint,End point substation ,Voltage Endpoint,Latitude start point,Longitude start point,Latitude end point ,longitude end point
 Handewitt,380/110,Handewitt,110,Flensburg,110,54.72782,9.314293,54.716131,9.317994
 Handewitt,380/110,Handewitt,110,Flensburg,110,54.72782,9.314293,54.716131,9.317994
Flensburg ,110,flensburg ,110,Helping Bus ,110,54.716131,9.317994,"54.732593,",9.3841
Flensburg ,110,flensburg ,110,Weding ,110,54.716131,9.317994,54.752944,9.406142
Flensburg ,110,flensburg ,110,Lindewitt,110,54.716131,9.317994,54.712961,9.161739
Flensburg ,110,flensburg ,110,Uw Grossenwiehe,110,54.716131,9.317994,54.701034,9.299366
Flensburg Nord,150/60/20,Flensburg Nord,150/60/20,Weding ,110,54.801172,9.409463,54.752944,9.406142
Lindewitt,110,Lindewitt,110,Soholm,110,54.712961,9.161739,54.706593,9.048148
Jardelund,110,Jardelund,110,Weesby,110,54.852142,9.196651,54.84475,9.116448
Jardelund,110,Jardelund,110,Suderlugum,110,54.852142,9.196651,54.844611,9.114329
Soholm,110,Soholm ,110,Helping Bus 3,110,54.706593,9.048148,54.791209,8.874628
Helping Bus 1,110,Helping Bus 1,110,Uw Grossenwiehe,110,54.678192,9.241253,54.701034,9.299366
Schobull,110/20,Schobull,110,Helping Bus 1,110,54.683568,9.232421,54.678192,9.241253
Helping Bus 1,110,Helping Bus 1,110,Löwenstedt,110,54.678192,9.241253,54.633854,9.146129
Löwenstedt,110,Löwenstedt,110,Vollstedt,110,54.633854,9.146129,54.627986,9.062742
Vollstedt,110,Vollstedt,110,Breklum,110,54.627986,9.062742,54.600523,8.98701
Breklum,110,Breklum,110,Breklum Ost,110,54.600523,8.98701,54.598973,8.992696
Breklum,110,Breklum,110,Helping Bus 2,110,54.600523,8.98701,54.635688,9.001724
Klixbull Sud,110,KlixBull Sud,110,Niel bull,110,54.795001,8.866922,54.792526,8.860323
Niel bull,110,Niel bull,110,EMBO,110,54.792526,8.860323,54.813834,8.745404
EMBO,110/20,EMBO,110,Helping Bus 49,110,54.813834,8.745404,54.828669,8.69047
Helping Bus 49,110,Helping Bus 49,110,TOFT,110,54.828669,8.69047,54.809663,8.654437
Helping Bus 49,110,Helping Bus 49,110,Lubke-koog ost,110,54.828669,8.69047,54.877904,8.646168
Lubke-koog ost,110,Lubke-koog ost,110,Lubke-koog west,110,54.877904,8.646168,54.886113,8.607608
Lubke-koog west,110,Lubke-koog west,110,Keitum,110,54.877904,8.646168,54.890689,8.362854
Helping Bus 2,110,Helping Bus 2,110,Dörpum,110,54.635688,9.001724,54.642156,8.9982
Helping Bus 2,110,Helping Bus 2,110,Langenhorn ,110,54.635688,9.001724,54.676568,8.961633
Klixbull Sud,380/110,Klixbull Sud,110,Helping Bus 3,110,54.795001,8.866922,54.791209,8.874628
Helping Bus 3,380/110,Helping Bus 3,110,Langenhorn ,110,54.791209,8.874628,54.676568,8.961633
Uw Husum Nord,380/110,Uw Husum Nord,110,Horstedt,110,54.510525,9.077733,54.515017,9.077904
Uw Husum Nord,380/110,Uw Husum Nord,110,Rosendahl,110,54.515017,9.077904,54.47292,9.095907
Rosendahl,110,Rosendahl,110,Oldersbek,110,54.47292,9.095907,54.453307,9.165277
Oldersbek ,110,Oldersbek,110,Helping Bus 5,110,54.453307,9.165277,54.351701,9.641356
Helping Bus 5,380/110,Helping Bus 5,110,Rendsburg Nord,110,54.351701,9.641356,54.316709,9.654214
Brunesbuttel,380/220/110,Brunesbuttel,110,Helping Bus 19,380,53.896182,9.201704,53.897482,9.240417
Helping Bus 19,110,Helping Bus 19,110,Ostermoor Ost ,110,53.897482,9.240417,53.910352,9.214729
Ostermoor Ost ,110,Ostermoor Ost,110,Ostermoor West,110,53.910352,9.214729,53.909691,9.194258
Helping Bus 18,110,Helping Bus 18,110,Dingen,110,53.908631,9.185869,53.95561,9.111813
Dingen,110,Dingen,110,Suderdonn,110,53.95561,9.111813,53.97247,9.111904
Heide West ,110,Heide West,110,Heide,110,54.16172,9.05082,54.186837,9.107368
Heide ,110,Heide,110,Helping Bus 22,110,54.186837,9.107368,54.250226,9.158295
Heide,110,Heide,110,Arkebek,110,54.186837,9.107368,54.15066,9.245853
Arkebek,110,Arkebek,110,Helping Bus 23,110,54.15066,9.245853,54.093177,9.339841
Helping Bus 23,110,Helping Bus 23,110,Hademarschen,110,54.093177,9.339841,54.117087,9.408237
Helping Bus 22,110,Helping Bus 22,110,Linden,110,54.250226,9.158295,54.255758,9.181057
Helping Bus 22,110,Helping Bus 22,110,Heide,110,54.250226,9.158295,54.186837,9.107368
Helping Bus 22,110,Helping Bus 22,110,Helping Bus 24,110,54.250226,9.158295,54.374733,9.115471
Helping Bus 22,110,Helping Bus 22,110,Helping Bus 53,110,54.250226,9.158295,54.264618,9.147322
Helping Bus 53,110,Helping Bus 53,110,Hemme West,110,54.264618,9.147322,54.275146,9.013429
Helping Bus 24,110,Helping Bus 24,110,Friedrichstadt,110,54.374733,9.115471,54.373383,9.108803
Friedrichstadt,110,Friedrichstadt,110,Rosendahl,110,54.373383,9.108803,54.47292,9.095907
Suderdonn,110,Suderdonn,110,Helping Bus 20,110,53.97247,9.111904,53.981518,9.101331
Helping Bus 20,110,Helping Bus 20,110,Marne West,110,53.981518,9.101331,53.960068,8.995528
Marne West,110/20,Marne West,110,Dieksanderkoog,110,53.960068,8.995528,53.974884,8.933446
Helping Bus 20,110,Helping Bus 20,110,Barit,110,53.981518,9.101331,54.00369,9.086984
Barit,110,Barit,110,Quickborn,110,54.00369,9.086984,54.013335,9.218034
Barit,110,Barit,110,Helping Bus 21,110,54.00369,9.086984,54.086916,9.04182
Helping Bus 21,110,Helping Bus 21,110,Meldorf ,110,54.086916,9.04182,54.083935,9.063093
Helping Bus 6,110,Helping Bus 6,110,Audorf,110,"54.341165,",9.71263,54.291814,9.726194
Heide West ,110,Heide West,110,Wohrden,110,54.16172,9.05082,54.179725,9.03869
Wohrden,110,Wohrden,110,Reinsbuttel,110,54.179725,9.03869,54.182395,8.910097
Reinsbuttel,110,Reinsbuttel,110,SDEI,110,54.182395,8.910097,54.18961,8.903477
SDEI,110,SDEI,110,Strübbel,110,54.18961,8.903477,54.259553,8.939341
Strübbel,110,Stübbel,110,Tönning,110,54.259553,8.939341,54.326086,8.941431
Tönning,110,Tönning,110,St Peter,110,54.326086,8.941431,54.305656,8.65124
St Peter,110,St Peter,110,Rosendahl,110,54.305656,8.65124,54.47292,9.095907
Audorf,110,Audorf,110,Schacht,110,54.291814,9.726194,54.302,9.716093
Helping Bus 6,110,Helping Bus 6,110,Helping Bus 25,110,"54.341165,",9.71263,54.341235,9.714878
Helping Bus 25,110,Helping Bus 25,110,Helping Bus 26,110,54.341235,9.714878,54.418034,9.620309
Helping Bus 26,110,Helping Bus 26,110,Kropp,110,54.418034,9.620309,54.416451,9.526627
Helping Bus 26,110,Helping Bus 26,110,Schuby,110,54.416451,9.526627,54.517888,9.476016
Schuby,110,Schuby,110,Helping Bus 27,110,54.517888,9.476016,54.677297,9.427082
Helping Bus 27,110,Helping Bus 27,110,Tarp,110,54.677297,9.427082,54.670201,9.409347
Helping Bus 27,110,Helping Bus 27,110,Weding ,110,54.677297,9.427082,54.752944,9.406142
Schacht,110,Schacht,110,Rendsburg Mitte,110,54.302,9.716093,54.309058,9.691366
Audorf,110,Audorf,110,Pollhorn,110,54.291814,9.726194,54.216885,9.678073
Pollhorn,110,Pollhorn,110,Helping Bus 7 ,110,54.216885,9.678073,54.094581,9.581497
Helping Bus 7 ,110,Helping Bus 7,110,Hohenwestedt,110,54.094581,9.581497,54.084437,9.648142
Helping Bus 7 ,110,Helping Bus 7,110,Substation Adj 1,110,54.094581,9.581497,54.053078,9.520914
Substation Adj 1,110,Substation Adj 1,110,Helping Bus 8 ,110,54.053078,9.520914,53.967744,9.48542
Helping Bus 8 ,110,Helping Bus 8 ,110,Itzehoe Nord,110,53.967744,9.48542,53.960801,9.488325
Helping Bus 8 ,110,Helping Bus 8 ,110,Itzehoe West,110,53.967744,9.48542,53.967577,9.449068
Itzehoe West,110,Itzehoe West,110,Helping Bus 9,110,53.967577,9.449068,53.946053,9.453135
Helping Bus 9,110,Helping Bus 9,110,Itzehoe mitte,110,53.946053,9.453135,53.931767,9.486684
Helping Bus 23,110,Helping Bus 23,110,Itzehoe mitte,110,54.093177,9.339841,53.931767,9.486684
Itzehoe mitte,110,itzehoe mitte,110,Helping Bus 10,110,53.931767,9.486684,53.914985,9.479037
Helping Bus 10,110,Helping Bus 10,110,Itzehoe south,110,53.914985,9.479037,53.911186,9.500585
Helping Bus 10,110,Helping Bus 10,110,Grevenkop,110,53.914985,9.479037,53.849462,9.541908
Grevenkop,110,Grevenkop,110,Helping Bus 11,110,53.849462,9.541908,53.833541,9.562233
Helping Bus 11,110,Helping Bus 11,110,Steinburg,110,53.833541,9.562233,53.844878,9.579043
Steinburg,110,Steinburg,110,Substation Adj 2,110,53.844878,9.579043,53.872884,9.581001
Helping Bus 11,110,Helping Bus 11,110,Helping Bus 12,110,53.833541,9.562233,53.805289,9.592974
Helping Bus 12,110,Helping Bus 12,110,Glückstadt ,110,53.805289,9.592974,53.77845,9.429418
Glückstadt ,110,Glückstadt ,110,Helping Bus 13,110,53.77845,9.429418,53.767628,9.638424
Helping Bus 13,110,Helping Bus 13,110,Elmshorn Mitte,110,53.767628,9.638424,53.756861,9.639095
Elmshorn Mitte,110,Elmshorn,110,Uetersen West,110,53.756861,9.639095,53.690292,9.648861
Uetersen West,110/30/10,Uetersen West,110,Helping Bus 14,110,53.690292,9.648861,53.616969,9.657355
Helping Bus 14,110,Helping Bus 14,110,Holm,110,53.616969,9.657355,53.616737,9.66114
Helping Bus 14,110,Helping Bus 14,110,Wedel Nord,110,53.616737,9.66114,53.594092,9.712571
Wedel Nord,110/30/10,Wedel Nord ,110,Pinniberg Mitte,110,53.594092,9.712571,53.666465,9.781233
Pinniberg Mitte,110,Pinniberg Mitte,110,Kummerfeld,110,53.666465,9.781233,53.69035,9.777076
Kummerfeld,110,Kummerfeld,110,Halstenbek,110/30/10,53.69035,9.777076,53.62953,9.866254
Helping Bus 13,110,Helping Bus 13,110,Helping Bus 15,110,53.767628,9.638424,53.747841,9.720452
Helping Bus 15,110,Helping Bus 15,110,Heede,110/10,53.747841,9.720452,53.770445,9.770461
Helping Bus 15,110,Helping Bus 15,110,Helping Bus 16,110,53.770445,9.770461,53.740673,9.725143
Helping Bus 16,110,Helping Bus 16,110,Elmshorn Ost,110,53.740673,9.725143,53.742654,9.691414
Shuby West,110,Shuby West,110,Helping Bus 28,110,54.521938,9.435164,54.527993,9.471105
Helping Bus 28,110,Helping Bus 28,110,Substation Adj 3,110,54.527993,9.471105,54.546416,9.428187
Substation Adj 3,110,Substation Adj 3,110,Jubek,110,54.546416,9.428187,54.557333,9.409082
Weding ,110,Weding ,110,Substation Adj 4,110,54.752944,9.406142,54.755563,9.674237
Substation Adj 4,110,Substation Adj 4,110,Schaltanlage sterup,110,54.755563,9.674237,54.711791,9.74417
Schaltanlage sterup,110,Schaltanlage sterup,110,Süderbrarup,110,54.711791,9.74417,54.634851,9.757858
Süderbrarup,110,Süderbrarup,110,Struxdorf,110,54.634851,9.757858,54.629759,9.643373
Schaltanlage,110,Schaltanlage,110,Ellenberg,110,54.711791,9.74417,54.666384,9.9621
Ellenberg,110,Ellenberg,110,Helping Bus 29,110,54.666384,9.9621,54.501546,9.828145
Helping Bus 29,110,Helping Bus 29,110,Barkelsby,110,54.501546,9.828145,54.49801,9.832892
Helping Bus 29,110,Helping Bus 29,110,Helping 30,110,54.666384,9.9621,54.428836,9.801838
Helping 30,110,Helping 30,110,Goosefeld,110,54.428836,9.801838,54.429806,9.812945
Helping 30,110,Helping 30,110,Uw Haby,110,54.428836,9.801838,54.408247,9.827504
Uw Haby,110,Uw Haby,110,Felde,110,54.408247,9.827504,54.322851,9.950813
Felde,110,Felde,110,Helping Bus 31,220/110,54.322851,9.950813,54.3219,9.952457
Helping Bus 33,110,Helping Bus 33,110,Kiel Sud,110,54.319989,9.984365,54.275918,10.15597
Kiel Sud,110,Kiel Sud,110,Hohndorf,110,54.275918,10.15597,54.367357,10.37302
Kiel Sud,110,Kiel Sud,110,Stolpe,110,54.275918,10.15597,54.132931,10.209002
Audorf,110,Audorf ,110,Katenstedt,110,54.291814,9.726194,54.212567,9.842412
Katenstedt,110,Katenstedt,110,Helping Bus 34,110,54.212567,9.842412,54.177465,9.868228
Helping Bus 34,110,Helping Bus 34,110,Nortorf,110,54.177465,9.868228,54.173146,9.852309
Helping Bus 34,110,Helping Bus 34,110,Kamp,110,54.177465,9.868228,54.144777,9.921695
Kamp,110,Kamp,110,Substation Adj 5,110,54.144777,9.921695,54.119136,9.961534
Substation Adj 5,110,Substation Adj 5,110,Einfeld,110,54.119136,9.961534,54.117692,9.975543
Einfeld,110,Einfeld,110,Neumünster Nord,110,54.117692,9.975543,54.117867,9.987173
Neumünster Nord,110,Neumünster Nord,110,Brachenfeld,110,54.117867,9.987173,54.087129,10.023107
Brachenfeld,110,Brachenfeld,110,Ost,110,54.087129,10.023107,54.084655,10.006834
Ost,110,Ost,110,Neumünster mitte,110,54.084655,10.006834,54.08186,9.989142
Neumünster mitte,110,Neumünster mitte,110,Neumünster west,110,54.08186,9.989142,54.063153,9.975768
Neumünster west,110,Neumünster west,110,Neumünster sud,110,54.063153,9.975768,54.049928,9.986948
Neumünster sud,110,Neumünster sud,110,Brachenfeld,,54.049928,9.986948,54.087129,10.023107
Einfeld,110,Einfeld,110,Brachenfeld,110,54.11787,9.976096,54.087129,10.023107
Brachenfeld,110/60,Brachenfeld,110,Helping Bus 35,110,54.087129,10.023107,54.045492,10.237319
Brachenfeld,110,Brachenfeld,110,Helping Bus 37,110,54.087129,10.023107,54.11663,10.106682
Helping Bus 37,110,Helping Bus 37,110,Wattenbek,110,54.11663,10.106682,54.179185,10.0544
Helping Bus 37,110,Helping Bus 37,110,Stolpe,110,54.11663,10.106682,54.132931,10.209002
Stolpe,110,Stolpe,110,Trenter Berg,110,54.132931,10.209002,54.194645,10.35823
Trenter Berg,110,Trenter Berg,110,Trent,110,54.194645,10.35823,54.201453,10.364243
Trent,110,Trent,110,Helmstorf,110,54.201453,10.364243,54.288007,10.588422
Helmstorf,110,Helmstorf,110,Weissenhauser,110,54.288007,10.588422,54.296868,10.774522
Weissenhauser,110,Weissenhauser,110,Gohl,110,54.296868,10.774522,54.284559,10.938429
Gohl,110,Gohl,110,Gohl Wind,110,54.284559,10.938429,54.2891,10.932781
Gohl Wind,110,Gohl Wind,110,Bisdorf,110/30,54.2891,10.932781,54.47507,11.119173
Gohl Wind,110,Gohl Wind,110,Helping Bus 38,110,54.2891,10.932781,54.35292,10.990231
Helping Bus 38,110,Helping Bus 38,110,Heiligenhafen,110,54.35292,10.990231,54.361887,10.977278
Helping Bus 38,110,Helping Bus 38,110,Lütjenbrode,110/20,54.35292,10.990231,54.361954,11.043148
Helping Bus 35,110,Helping Bus 35,110,Bornhoved,110,54.045492,10.237319,54.063744,10.232348
Bornhoved,110,Bornhoved,110,Helping Bus 36,110,54.063744,10.232348,53.956499,10.387742
