1,Name,Primary Voltage (KV),Secondary Voltage (KV),Latitude,Longitude,
2,Wilster,380,380,53.92329,9.345835,
3,Audorf Sud ,380,220,54.288496,9.724671,
,Audorf Sud ,220,110,54.288496,9.724671,
4,Buttel  ,380,220,53.916186,9.2352,
,Buttel  ,220,150,53.916186,9.2352,
5,Kiel Sud  ,220,110,54.275918,10.15597,
8,Flensburg Nord  ,150,60,54.801172,9.409463,Ss
9,Weding  ,110,60,54.752944,9.406142,
11,Flensburg ,220,110,54.716131,9.317994,
12,Handewitt  ,380,110,54.72782,9.314293,
13,Schuby west  ,380,110 ,54.521938,9.435164,
14,Uw Husum Nord ,380, 110,54.510525,9.077733,
15,Suderdonn ,380,110,53.97247,9.111904,
16,Heide west  ,380,110 ,54.16172,9.05082,
17,Brunsbuttel  ,380,220,53.895905,9.201136,
,Brunsbuttel  ,220,110,53.895905,9.201136,
18,itzehoe West,220,110,53.967577,9.449068,
19,Klixbull Sud ,380,110,54.795001,8.866922,
,Lubeck ,220,110,53.919076,10.642002,
22,Siems ,380,220,53.909843,10.760494,
,Siems ,220,110,53.909843,10.760494,
23,Jardelund ,380,110,54.852142,9.196651,
,Kiel West  ,220,110,54.844591,9.116313,
77,Kraftwerk Herrenwyk,380,110,53.897908,10.802039,
91,Brokdorf,380,220,53.851773,9.343582,
107,Phaenschieberanlage Krempermarsch,380,380,53.847975,9.50002,
110,Brokdorf,380,220,53.851791,9.344403,
